id,maker,model,year,grade,body_type,engine_type,displacement_cc,max_power_ps,max_power_rpm,max_torque_nm,max_torque_rpm,top_speed_kmh,acceleration_0_100_sec,fuel_type,fuel_efficiency_km_per_l,drive_type,transmission,weight_kg,wheelbase_mm,handling_score,braking_distance_100_0_m,price_man_yen,seating_capacity
1,Toyota,GR Supra,2024,RZ,coupe,turbo,2998,387,5800,500,1800,250,4.3,gasoline,11.6,FR,AT,1570,2470,8.8,37,826,2
2,Toyota,GR Supra,2024,SZ-R,coupe,turbo,2998,387,5800,500,1800,250,4.3,gasoline,11.6,FR,AT,1570,2470,8.5,37,684,2
3,Toyota,GR Supra,2024,SZ,coupe,turbo,1998,258,5000,400,1550,250,5.2,gasoline,12.4,FR,AT,1495,2470,8.0,38,559,2
4,Toyota,GR86,2023,RZ,coupe,NA,2387,235,7000,250,3700,226,6.3,gasoline,12.0,FR,MT,1270,2575,8.5,40,312,4
5,Toyota,GR86,2023,SZ,coupe,NA,2387,235,7000,250,3700,226,6.5,gasoline,12.8,FR,AT,1275,2575,8.0,41,291,4
6,Toyota,GR Yaris,2024,RZ High-performance,hatchback,turbo,1618,272,6500,370,3000,230,5.5,gasoline,14.6,AWD,MT,1280,2560,9.2,38,472,4
7,Toyota,GR Yaris,2024,RZ,hatchback,turbo,1618,272,6500,370,3000,230,5.5,gasoline,14.6,AWD,MT,1280,2560,8.8,38,421,4
8,Toyota,GR Yaris,2024,RS,hatchback,turbo,1618,272,6500,370,3000,230,6.0,gasoline,14.6,AWD,CVT,1280,2560,7.5,39,389,4
9,Toyota,GR Corolla,2024,RZ,hatchback,turbo,1618,304,6500,370,3000,230,5.0,gasoline,13.0,AWD,MT,1470,2640,9.0,38,529,4
10,Toyota,Supra,1998,RZ,coupe,turbo,2997,280,5600,451,3600,250,4.6,gasoline,9.8,FR,MT,1570,2550,8.0,38,460,2
11,Toyota,Supra,1998,SZ-R,coupe,turbo,2997,280,5600,451,3600,250,4.8,gasoline,9.8,FR,AT,1580,2550,7.5,39,420,2
12,Toyota,Celica,1995,GT-Four,coupe,turbo,1998,255,6500,314,4000,230,6.0,gasoline,10.5,AWD,MT,1370,2530,8.3,40,270,4
13,Toyota,Celica,2004,ZZT231 SS-II,coupe,NA,1795,190,7800,180,6800,215,7.8,gasoline,14.0,FF,MT,1060,2570,7.8,42,215,4
14,Toyota,MR2,1995,GT,coupe,turbo,1998,245,6000,304,4000,245,5.5,gasoline,10.0,MR,MT,1260,2450,8.5,38,280,2
15,Toyota,MR2,1995,G,coupe,NA,1998,175,7000,196,5600,210,7.0,gasoline,11.5,MR,MT,1220,2450,8.0,40,220,2
